recipe_id,recipe_name,user_id,rating
recipe-13,방울토마토 소박이,user-1,1
recipe-26,모과 소스를 곁들인 채소두부,user-1,1
recipe-28,새우살 두부완자 샐러드와 매실 생강 소스,user-1,2
recipe-37,청국장 실곤약 파스타,user-1,1
recipe-38,고소하고 담백한 너트국수,user-1,0
recipe-66,치즈 크러스트 튜나,user-1,2
recipe-72,발사믹 비네그레트를 이용한 쿠스쿠스 샐러드,user-1,0
recipe-80,와인두부를 이용한 저염 치즈 요거트 카나페,user-1,0
recipe-103,버섯샐러드,user-1,0
recipe-112,검은콩국수,user-1,2
recipe-130,배숙구이,user-1,2
recipe-133,토마토소고기장조림,user-1,2
recipe-136,삼겹살꼬치구이,user-1,0
recipe-152,냉토마토파스타,user-1,2
recipe-175,콩고기샐러드,user-1,0
recipe-180,닭갈비볶음면,user-1,1
recipe-234,토마토카레 채소볶음밥,user-1,1
recipe-268,샐러드돈가스,user-1,1
recipe-282,토마토오리볶음,user-1,2
recipe-290,고등어카레탕수,user-1,1
recipe-301,망고샐러드,user-1,1
recipe-332,머스터드 드레싱을 이용한 레즈와즈 샐러드,user-1,0
recipe-333,마늘드레싱을 곁들인 키위샐러드,user-1,0
recipe-336,마고구마 샐러드,user-1,0
recipe-338,건강그린 샐러드와 고소한 두유드레싱,user-1,0
recipe-339,배즙 오징어 샐러드,user-1,2
recipe-346,고등어 찜,user-1,1
recipe-361,양지해장국,user-1,2
recipe-362,토마토돼지고기해장국,user-1,1
recipe-370,토마토 장조림,user-1,1
recipe-376,보리된장 비네그레트 소스를 곁들인 낙지샐러드,user-1,2
recipe-386,오렌지비네거 드레싱을 곁들인 가자미와 연어,user-1,0
recipe-407,곤약함박스테이크,user-1,0
recipe-415,봉골레 소스를 곁들인 코다리 스테이크,user-1,1
recipe-430,매실드레싱 해산물샐러드,user-1,1
recipe-431,청포묵 샐러드,user-1,1
recipe-436,새우탬벨,user-1,2
recipe-443,토마토샐러드라면,user-1,1
recipe-444,검은깨라면크로켓,user-1,2
recipe-446,연어롤샐러드,user-1,0
recipe-452,계란숙샐러드,user-1,2
recipe-483,삼색꼬치구이,user-1,2
recipe-497,토마토제철나물 샐러드,user-1,2
recipe-498,브로콜리스프,user-1,2
recipe-500,토마토맑은장국,user-1,2
recipe-503,닭가슴살샌드스테이크,user-1,0
recipe-562,카스텔라케이크와 해독주스,user-1,2
recipe-563,토마토김치,user-1,2
recipe-564,닭가슴살스튜,user-1,2
recipe-574,두부채소샐러드,user-1,0
recipe-648,망고자몽드레싱 해산물전체,user-1,2
